epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.29411765933036804,0.3851228356361389,1e-05,0.2983425557613373,0.2647058963775635,0.1428571492433548,0.22371003031730652,0.0,0.0
1,0.30882352590560913,0.43656671047210693,1e-05,0.3055555522441864,0.2696078419685364,0.1428571492433548,0.21080008149147034,0.1428571492433548,0.0476190485060215
2,0.3235294222831726,0.4082135260105133,1e-05,0.32972973585128784,0.29901960492134094,0.1428571492433548,0.21612074971199036,0.1428571492433548,0.1428571492433548
3,0.36764705181121826,0.41215217113494873,1e-05,0.3611111044883728,0.3186274468898773,0.1428571492433548,0.21445830166339874,0.1428571492433548,0.1428571492433548
4,0.29901960492134094,0.39635494351387024,1e-05,0.32022473216056824,0.27941176295280457,0.1428571492433548,0.20539119839668274,0.1428571492433548,0.1428571492433548
5,0.38235294818878174,0.3655019700527191,1e-05,0.3723404109477997,0.343137264251709,0.1428571492433548,0.16214358806610107,0.1428571492433548,0.095238097012043
6,0.44117647409439087,0.28883495926856995,1e-05,0.4545454680919647,0.3921568691730499,0.1428571492433548,0.13464991748332977,0.0,0.0
7,0.3137255012989044,0.41641879081726074,1e-05,0.28729280829429626,0.2549019753932953,0.2380952388048172,0.12075570970773697,0.0,0.0
8,0.37254902720451355,0.3626164495944977,1e-05,0.3791208863258362,0.3382352888584137,0.5714285969734192,0.10485762357711792,0.0,0.0
9,0.37254902720451355,0.35045450925827026,1e-05,0.3825136721134186,0.343137264251709,0.6666666865348816,0.08936214447021484,0.0,0.0
10,0.3235294222831726,0.355647474527359,1e-05,0.31843575835227966,0.27941176295280457,0.7142857313156128,0.08283337205648422,0.6666666865348816,0.095238097012043
11,0.38235294818878174,0.320424884557724,1e-05,0.38743454217910767,0.36274510622024536,0.5714285969734192,0.08916448056697845,1.0,0.0476190485060215
12,0.3921568691730499,0.36610907316207886,1e-05,0.3978494703769684,0.36274510622024536,0.5714285969734192,0.09161189943552017,0.6000000238418579,0.1428571492433548
13,0.4215686321258545,0.2987351715564728,1e-05,0.41304346919059753,0.37254902720451355,0.3333333432674408,0.1041015237569809,0.4000000059604645,0.095238097012043
14,0.46078431606292725,0.32292479276657104,1e-05,0.4545454680919647,0.4166666567325592,0.4285714328289032,0.10816489160060883,0.4285714328289032,0.1428571492433548
15,0.3921568691730499,0.35125309228897095,1e-05,0.4000000059604645,0.36274510622024536,0.6666666865348816,0.09495173394680023,0.5714285969734192,0.190476194024086
16,0.3529411852359772,0.37374448776245117,5e-06,0.3426966369152069,0.29901960492134094,0.6190476417541504,0.09585126489400864,0.625,0.2380952388048172
17,0.3333333432674408,0.36626678705215454,5e-06,0.34972676634788513,0.3137255012989044,0.6190476417541504,0.10278792679309845,0.6666666865348816,0.2857142984867096
18,0.4803921580314636,0.2711108326911926,5e-06,0.5058139562606812,0.4264705777168274,0.6666666865348816,0.08948071300983429,0.6363636255264282,0.3333333432674408
19,0.4166666567325592,0.3111541271209717,5e-06,0.44021740555763245,0.3970588147640228,0.6666666865348816,0.09568541496992111,0.6153846383094788,0.380952388048172
20,0.37254902720451355,0.33016204833984375,5e-06,0.36666667461395264,0.3235294222831726,0.7142857313156128,0.08819909393787384,0.6666666865348816,0.4761904776096344
21,0.47058823704719543,0.28596216440200806,2.5e-06,0.4810810685157776,0.4362744987010956,0.5714285969734192,0.09473703801631927,0.6153846383094788,0.380952388048172
22,0.4019607901573181,0.3034708499908447,2.5e-06,0.4033149182796478,0.3578431308269501,0.5714285969734192,0.09770482778549194,0.6428571343421936,0.4285714328289032
23,0.4166666567325592,0.30371880531311035,2.5e-06,0.4139784872531891,0.37745097279548645,0.6190476417541504,0.09833129495382309,0.6666666865348816,0.4761904776096344
24,0.37745097279548645,0.32977044582366943,2.5e-06,0.38743454217910767,0.36274510622024536,0.6190476417541504,0.09884040802717209,0.6428571343421936,0.4285714328289032
25,0.44117647409439087,0.31515809893608093,2.5e-06,0.451977401971817,0.3921568691730499,0.6190476417541504,0.09477771818637848,0.6428571343421936,0.4285714328289032
