,precision,recall,f1-score,support
Fair,0.5,0.3333333333333333,0.4,3.0
Good,0.7,0.9333333333333333,0.8,15.0
Poor,0.0,0.0,0.0,4.0
accuracy,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
macro avg,0.39999999999999997,0.4222222222222222,0.4000000000000001,22.0
weighted avg,0.5454545454545454,0.6818181818181818,0.6,22.0
